,version,shots,queries,pre_mode,network,fields,num_pkts,seed,dataset,base_learner,noise_label,noise_ratio,curr_al_cycle,old_classes,new_classes,train_time,adaptation_acc_mean,adaptation_acc_std,adaptation_f1_all_macro_mean,adaptation_f1_all_macro_std,adaptation_f1_all_micro_mean,adaptation_f1_all_micro_std,adaptation_f1_new_macro_mean,adaptation_f1_new_macro_std,adaptation_f1_new_micro_mean,adaptation_f1_new_micro_std,adaptation_f1_old_macro_mean,adaptation_f1_old_macro_std,adaptation_f1_old_micro_mean,adaptation_f1_old_micro_std,adaptation_sc_mean,adaptation_sc_std,adaptation_db_mean,adaptation_db_std,pt_test_acc_mean,pt_test_acc_std,pt_test_f1_all_macro_mean,pt_test_f1_all_macro_std,pt_test_f1_all_micro_mean,pt_test_f1_all_micro_std
0,0,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,edge_iiot,lr,True,0.3,,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14]","[6, 7, 10]",0.0,0.7506666779518127,0.006633243523538113,0.7045609735169311,0.010104508694728263,0.7506666666666668,0.006633249580710797,0.4837041749755029,0.010024859519950604,0.5656842157237985,0.009588978218223632,0.7597751731522884,0.011970354771272522,0.8018627675510253,0.006914870872862533,0.21146032214164734,0.06930234283208847,1.9695137402620457,0.2491364087184314,0.9721526503562927,0.0,0.8316531131538522,0.0,0.9721526266069742,0.0
1,1,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,edge_iiot,lr,True,0.5,,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14]","[6, 7, 10]",0.0,0.7490000128746033,0.008856878615915775,0.7062056166034764,0.010668914307368932,0.749,0.00885688683705763,0.46657928935176135,0.016851458861389855,0.5466251499503897,0.018573238079347958,0.7661121984164051,0.010435820910676026,0.8040724629194658,0.007458880614109197,0.19978348910808563,0.08075521141290665,2.064044682117595,0.31440747038441896,0.9720796346664429,0.0,0.8316024001912886,0.0,0.9720796082565499,0.0
2,0,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,iot_nid,lr,True,0.3,,"[0, 2, 3, 4, 6, 7, 9]","[1, 5, 8]",0.0,0.8944999575614929,0.021118711680173874,0.8909993141809636,0.022054548944930523,0.8945000000000001,0.021118712081942874,0.7909246767506193,0.044644262318479094,0.7921001445368091,0.04635031193931194,0.9338884445082541,0.013897957898259148,0.933568430298702,0.012025029415520026,0.24240107834339142,0.1455199420452118,2.27222875189916,0.6776714138598857,0.9813042879104614,0.0,0.9670843660431654,0.0,0.9813042737953346,0.0
3,1,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,iot_nid,lr,True,0.5,,"[0, 2, 3, 4, 6, 7, 9]","[1, 5, 8]",0.0,0.859000027179718,0.032349638640880585,0.8536218948283685,0.032649872809508866,0.859,0.03234965223924359,0.6768559316227598,0.10200475514396336,0.6797517818611123,0.10239935170063848,0.9293787362022009,0.007668388005979969,0.9299262935359363,0.006620197764782243,0.2386890947818756,0.15100303292274475,2.3424705223969204,0.7401334886931983,0.9856461882591248,0.0,0.9727702596495134,0.0,0.9856461774221011,0.0
4,3,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,cic2018,nn,True,0.3,,"[0, 1, 2, 3, 5, 6, 8, 9, 10]","[4, 7, 11]",0.0,0.88958340883255,0.021690677851438522,0.8859107533613673,0.023565614916064043,0.8895833333333332,0.021690691808033985,0.7035700151158556,0.09484755508852591,0.70964980898672,0.08859332607664985,0.9466909994432046,0.004544736236089735,0.9481083899623599,0.004335344102116452,0.3717537224292755,0.21319431066513062,1.8019219245596645,0.5540853061908818,0.9968065023422241,0.0,0.9934882832786303,0.0,0.9968064852914083,0.0
5,4,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,cic2018,nn,True,0.5,,"[0, 1, 2, 3, 5, 6, 8, 9, 10]","[4, 7, 11]",0.0,0.8374999761581421,0.006319076754152775,0.8271039243197235,0.005978334808046984,0.8375,0.006319062870042936,0.43177162467387287,0.010129997738013792,0.4645511064114247,0.015194760595661976,0.958881357535007,0.00806927510997826,0.9591400786265138,0.007813931500778215,0.3527437150478363,0.2328561693429947,1.8570254286175925,0.6140872347947172,0.9968065023422241,0.0,0.9934882832786303,0.0,0.9968064852914083,0.0
6,0,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,iot_nid,nn,True,0.3,,"[0, 2, 3, 4, 6, 7, 9]","[1, 5, 8]",0.0,0.8055000305175781,0.012489983811974525,0.8004995248461355,0.012680578893627777,0.8055,0.01248999599679676,0.6353943515968126,0.030783541134297994,0.6404021365786849,0.029941291372299866,0.871258884810131,0.015158328930240385,0.8777819154324342,0.012761098879862253,0.24495823681354523,0.14755791425704956,2.2167904542300247,0.629324722903588,0.984471321105957,0.0,0.9722149630117318,0.0,0.9844713093819173,0.0
7,1,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,iot_nid,nn,True,0.5,,"[0, 2, 3, 4, 6, 7, 9]","[1, 5, 8]",0.0,0.762499988079071,0.02454587072134018,0.7579060408164917,0.026882344671123954,0.7625,0.02454587541726714,0.5169217163417045,0.043886864850550135,0.5182202702082596,0.03541559902144646,0.8611850370199721,0.024444118140859346,0.8725498597981055,0.020277534949848585,0.23807445168495178,0.1530851572751999,2.387286642000818,0.7987569290512077,0.9856120944023132,0.0,0.9723921300408521,0.0,0.9856121232760089,0.0
8,0,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,edge_iiot,nn,True,0.3,,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14]","[6, 7, 10]",0.0,0.7670000195503235,0.03278551250696182,0.7328875628189813,0.0438977074047374,0.767,0.0327854981491648,0.45975271367302256,0.21999336285007023,0.5786252746420183,0.20118682397692586,0.8011712751054709,0.009308422276566605,0.8038411078789942,0.008704565791320654,0.20476694405078888,0.07239930331707001,1.956132227900507,0.2166662881272818,0.9720522165298462,0.0,0.8317443432405303,0.0,0.9720522263751409,0.0
9,1,10,40,contrastive,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,edge_iiot,nn,True,0.5,,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14]","[6, 7, 10]",0.0,0.7430000305175781,0.009854487143456936,0.7184154325188672,0.008324269854077854,0.7430000000000001,0.00985449699939628,0.3894142919143724,0.04875621547280508,0.43341582217061375,0.03687658358289601,0.8006657176699911,0.007573469430190055,0.8181509548774197,0.006793811565419115,0.200358584523201,0.07846226543188095,2.021793083624792,0.28843264752830294,0.9721161127090454,0.0,0.832174963019091,0.0,0.9721161174317622,0.0
