,version,shots,queries,pre_mode,network,fields,num_pkts,seed,dataset,base_learner,noise_label,noise_ratio,curr_al_cycle,old_classes,new_classes,train_time,adaptation_acc_mean,adaptation_acc_std,adaptation_f1_all_macro_mean,adaptation_f1_all_macro_std,adaptation_f1_all_micro_mean,adaptation_f1_all_micro_std,adaptation_f1_new_macro_mean,adaptation_f1_new_macro_std,adaptation_f1_new_micro_mean,adaptation_f1_new_micro_std,adaptation_f1_old_macro_mean,adaptation_f1_old_macro_std,adaptation_f1_old_micro_mean,adaptation_f1_old_micro_std,adaptation_sc_mean,adaptation_sc_std,adaptation_db_mean,adaptation_db_std,pt_test_acc_mean,pt_test_acc_std,pt_test_f1_all_macro_mean,pt_test_f1_all_macro_std,pt_test_f1_all_micro_mean,pt_test_f1_all_micro_std
0,0,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,iot_nid,lr,True,0.3,,"[0, 2, 3, 4, 6, 7, 9]","[1, 5, 8]",0.0,0.824999988079071,0.028679266571998596,0.815018085521641,0.0362675533748584,0.825,0.028679260799399933,0.7311643738572697,0.022421933859773372,0.7093442640538496,0.037803055647123905,0.8509553905206573,0.04527621788465417,0.8787323709451369,0.02155620607431553,0.2599581778049469,0.1576758176088333,2.2136380778498257,0.6106670808905579,0.9856972694396973,0.0,0.9741540059131063,0.0,0.9856972586412396,0.0
1,1,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,iot_nid,lr,True,0.5,,"[0, 2, 3, 4, 6, 7, 9]","[1, 5, 8]",0.0,0.8328749537467957,0.0429336316883564,0.8230612501444767,0.04780527045898147,0.8328749999999999,0.04293363337757474,0.6714033140674909,0.10309299055974455,0.6716599334806468,0.09927045177167232,0.888057508463185,0.041617078626262925,0.8979219071374311,0.026583743180295417,0.24402514100074768,0.15686748921871185,2.338959415423081,0.691876902780679,0.981457531452179,0.0,0.9668816198070017,0.0,0.9814575174527499,0.0
2,0,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,cic2018,lr,True,0.3,,"[0, 1, 2, 3, 5, 6, 8, 9, 10]","[4, 7, 11]",0.0,0.9145833849906921,0.009682449512183666,0.9014818504740368,0.015330414871537575,0.9145833333333332,0.009682458365518551,0.7614899676724314,0.05513213605618798,0.8191502374577622,0.023377469192928907,0.9481458114079053,0.007629162417025858,0.9421984131957594,0.006761719136947014,0.3911459147930145,0.2142062485218048,1.6366676016074593,0.5022402081490676,0.9966222643852234,0.0,0.9932375022147109,0.0,0.9966222440582202,0.0
3,1,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,cic2018,lr,True,0.5,,"[0, 1, 2, 3, 5, 6, 8, 9, 10]","[4, 7, 11]",0.0,0.91510409116745,0.01001029834151268,0.8913162956697723,0.018953455891306224,0.9151041666666668,0.010010302852283966,0.7030024886120075,0.06656846998523364,0.8055864176764187,0.027690816483119603,0.9540875646890272,0.004742640139204387,0.944718296473047,0.006657905077880997,0.3671122193336487,0.2397306263446808,1.7402540665868038,0.624832559798605,0.9965915083885193,0.0,0.9932130382587242,0.0,0.9965915371860222,0.0
4,0,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,edge_iiot,nn,True,0.3,,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14]","[6, 7, 10]",0.0,0.7666667103767395,0.025011103600263596,0.7405385042917464,0.029545049248364253,0.7666666666666667,0.025011108643072114,0.43850182231615237,0.14586874964431842,0.5198867412682538,0.13354680848674796,0.816047674785645,0.013697308621991661,0.8268190999872249,0.011819357833318845,0.22427180409431458,0.09722167253494263,1.9110395661321569,0.3206618724760226,0.9719746708869934,0.0,0.8309458997304232,0.0,0.9719746443778152,0.0
5,1,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,edge_iiot,nn,True,0.5,,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14]","[6, 7, 10]",0.0,0.731333315372467,0.020321041345596313,0.6994591861234869,0.024477669752465923,0.7313333333333334,0.02032103453184517,0.25368810139720954,0.11463373170366181,0.3311348018139239,0.10625473389857559,0.8109019573050562,0.013529105517763701,0.8201796246808403,0.011944724229602209,0.2180149257183075,0.1080784872174263,1.8863847889374434,0.43279788399802943,0.9721434712409973,0.0,0.8315229105960592,0.0,0.9721434993131711,0.0
6,0,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,cic2018,nn,True,0.3,,"[0, 1, 2, 3, 5, 6, 8, 9, 10]","[4, 7, 11]",0.0,0.8833333849906921,0.027195287868380547,0.8778853461499818,0.030096791615295434,0.8833333333333334,0.027195281453467852,0.6283019200823465,0.1453560207803614,0.6452465668001128,0.13254281197899784,0.9610798215058601,0.009038107261678459,0.9611183167224644,0.009148773366097674,0.39027824997901917,0.21498100459575653,1.6436584012123099,0.5034610852722512,0.9966529607772827,0.0,0.9932638813689398,0.0,0.9966529509304183,0.0
7,1,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,cic2018,nn,True,0.5,,"[0, 1, 2, 3, 5, 6, 8, 9, 10]","[4, 7, 11]",0.0,0.849479079246521,0.023961728438735008,0.8359958747941363,0.025943190738652876,0.8494791666666668,0.023961729831708255,0.4580291513746291,0.10221151402621727,0.5041501665820451,0.09644648898138182,0.9619847826006389,0.007363195637351181,0.9621063722713916,0.00757519891800921,0.36720961332321167,0.24035701155662537,1.7420875449101267,0.6276566027346442,0.9965915083885193,0.0,0.9932280529141182,0.0,0.9965915371860222,0.0
8,0,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,edge_iiot,lr,True,0.3,,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14]","[6, 7, 10]",0.0,0.7383334040641785,0.003800581209361553,0.6904515674365699,0.006680218452594959,0.7383333333333333,0.0038005847503304697,0.4808274664145838,0.011552145362450007,0.5623540074256448,0.012583435977842757,0.7428575926920664,0.008595395821750545,0.7868906507919348,0.0049939524946643376,0.23185113072395325,0.09010343998670578,1.9472978479994445,0.3275689840581795,0.972148060798645,0.0,0.831727774135674,0.0,0.9721480629600726,0.0
9,1,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,edge_iiot,lr,True,0.5,,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14]","[6, 7, 10]",0.0,0.747333288192749,0.008888195268809795,0.7013203644219722,0.013189856020141182,0.7473333333333333,0.008888194417315585,0.4638619290236594,0.04410438513665337,0.5437820417058298,0.03748376478533034,0.7606849732715505,0.009294759975559312,0.8012382752196624,0.010382483184249499,0.21792039275169373,0.10179748386144638,1.8920612086331836,0.400431282014761,0.9720932841300964,0.0,0.8423040995284242,0.0,0.9720932991972545,0.0
10,0,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,iot_nid,nn,True,0.3,,"[0, 2, 3, 4, 6, 7, 9]","[1, 5, 8]",0.0,0.8095000386238098,0.016688326373696327,0.8050346897900363,0.017169237773022896,0.8094999999999999,0.016688319268278642,0.6030102223299794,0.027126347829535203,0.6066854918931399,0.028160744524275052,0.891616604415775,0.020386806847932013,0.8989196542833102,0.01736791631415439,0.24979238212108612,0.1583518534898758,2.2214296624901513,0.5999508258571004,0.981781005859375,0.0,0.9669709923966014,0.0,0.9817810318406266,0.0
11,1,10,40,none,UNet1D2D,"['PL', 'IAT', 'DIR', 'WIN', 'FLG', 'TTL']",20,0,iot_nid,nn,True,0.5,,"[0, 2, 3, 4, 6, 7, 9]","[1, 5, 8]",0.0,0.7782500982284546,0.035804152488708496,0.7744059510501676,0.03709037698161474,0.77825,0.035804154786840035,0.5257158382668564,0.08602006903953806,0.5278101536715066,0.08251086500610758,0.8809874279573011,0.030214432821310845,0.8893430586007229,0.02314237630504509,0.25298652052879333,0.16294999420642853,2.3078411268901533,0.6616711873764904,0.9839945435523987,0.0,0.9706295553679786,0.0,0.9839945513366253,0.0
